,Hora
0,07:06:12
1,07:09:41
2,07:15:03
3,07:15:04
4,07:17:45
5,07:18:54
6,07:20:37
7,07:21:11
8,07:21:28
9,07:22:07
10,07:22:27
11,07:27:42
12,07:29:18
13,07:31:29
14,07:31:30
15,07:32:32
16,07:32:46
17,07:34:15
18,07:34:56
19,07:38:11
20,07:39:52
21,07:41:48
22,07:41:51
23,07:42:21
24,07:43:11
25,07:48:08
26,07:49:43
27,07:50:40
28,07:53:03
29,07:55:30
30,07:55:56
31,07:56:08
32,07:56:48
33,07:57:25
34,08:02:19
35,08:04:45
36,08:05:55
37,08:11:18
38,08:14:14
39,08:15:39
40,08:19:29
41,08:19:54
42,08:22:19
43,08:24:10
44,08:27:20
45,08:28:12
46,08:32:24
47,08:35:34
48,08:40:52
49,08:42:00
50,08:42:12
51,08:46:29
52,08:49:09
53,08:49:40
54,08:53:15
55,08:54:42
56,08:55:16
57,08:55:45
58,08:59:37
59,08:59:52
60,09:00:05
61,09:00:09
62,09:00:48
63,09:01:42
64,09:03:07
65,09:04:01
66,09:07:35
67,09:07:44
68,09:08:49
69,09:09:12
70,09:10:41
71,09:12:05
72,09:19:06
73,09:19:18
74,09:22:34
75,09:23:04
76,09:25:14
77,09:26:00
78,09:28:36
79,09:37:52
80,09:37:59
81,09:42:00
82,09:44:09
83,09:46:58
84,09:49:13
85,09:51:46
86,09:52:02
87,09:54:53
88,09:55:36
89,09:56:59
90,09:59:11
91,10:00:33
92,10:00:36
93,10:01:40
94,10:08:36
95,10:09:43
96,10:11:07
97,10:19:05
98,10:20:16
99,10:20:29
100,10:21:00
101,10:21:28
102,10:22:16
103,10:22:54
104,10:25:34
105,10:27:28
106,10:30:00
107,10:36:52
108,10:37:03
109,10:37:16
110,10:38:23
111,10:39:28
112,10:39:30
113,10:42:36
114,10:44:35
115,10:44:58
116,10:46:06
117,10:46:54
118,10:50:25
119,10:50:29
120,10:51:55
121,10:53:34
122,10:54:40
123,10:59:16
124,10:59:48
125,11:00:24
126,11:06:00
127,11:16:54
128,11:18:43
129,11:18:46
130,11:19:23
131,11:26:37
132,11:29:26
133,11:31:36
134,11:32:58
135,11:33:07
136,11:33:17
137,11:33:25
138,11:33:59
139,11:39:21
140,11:42:03
141,11:42:17
142,11:43:31
143,11:46:37
144,11:49:30
145,11:53:26
146,12:00:28
147,12:05:51
148,12:07:02
149,12:08:29
150,12:09:12
151,12:10:23
152,12:13:02
153,12:19:03
154,12:19:13
155,12:23:27
156,12:29:50
157,12:30:00
158,12:34:15
159,12:34:48
160,12:35:37
161,12:37:24
162,12:39:20
163,12:39:28
164,12:40:37
165,12:49:05
166,12:54:41
167,12:55:23
168,12:56:44
169,13:01:20
170,13:01:51
171,13:02:52
172,13:05:31
173,13:07:25
174,13:10:36
175,13:13:08
176,13:16:36
177,13:21:12
178,13:23:22
179,13:23:42
180,13:24:30
181,13:25:40
182,13:26:10
183,13:26:36
184,13:26:41
185,13:28:07
186,13:29:08
187,13:29:45
188,13:29:56
189,13:30:51
190,13:32:43
191,13:36:06
192,13:36:15
193,13:40:19
194,13:40:36
195,13:43:01
196,13:43:13
197,13:43:34
198,13:47:17
199,13:51:06
200,13:53:25
201,13:56:26
202,13:57:04
203,13:58:24
204,13:58:24
205,14:00:20
206,14:04:02
207,14:06:38
208,14:09:28
209,14:09:30
210,14:10:17
211,14:14:33
212,14:17:56
213,14:18:28
214,14:23:07
215,14:24:13
216,14:26:20
217,14:30:16
218,14:32:29
219,14:34:53
220,14:41:24
221,14:44:20
222,14:50:51
223,14:53:19
224,14:55:27
225,14:56:02
226,14:57:34
227,15:01:39
228,15:04:06
229,15:07:52
230,15:08:20
231,15:09:22
232,15:12:14
233,15:13:45
234,15:14:22
235,15:15:20
236,15:17:47
237,15:18:05
238,15:19:26
239,15:19:29
240,15:19:49
241,15:25:54
242,15:28:33
243,15:30:20
244,15:34:37
245,15:35:45
246,15:36:36
247,15:38:33
248,15:39:01
249,15:39:46
250,15:45:12
251,15:47:00
252,15:47:11
253,15:47:40
254,15:50:16
255,15:50:23
256,15:52:04
257,15:52:06
258,15:52:26
259,15:52:48
260,15:54:30
261,15:55:07
262,16:02:46
263,16:04:46
264,16:05:09
265,16:05:55
266,16:14:06
267,16:15:35
268,16:20:12
269,16:22:26
270,16:22:54
271,16:26:15
272,16:30:06
273,16:32:57
274,16:35:48
275,16:40:05
276,16:47:04
277,16:48:20
278,16:51:43
279,16:53:57
280,16:59:35
281,17:01:35
282,17:01:46
283,17:04:21
284,17:05:14
285,17:06:00
286,17:07:43
287,17:07:43
288,17:13:36
289,17:14:23
290,17:16:07
291,17:19:11
292,17:24:08
293,17:27:47
294,17:29:53
295,17:31:47
296,17:32:19
297,17:42:30
298,17:43:39
299,17:44:58
300,17:45:49
301,17:47:08
302,17:49:35
303,17:53:57
304,17:55:57
305,18:01:38
306,18:05:37
307,18:08:01
308,18:13:03
309,18:13:16
310,18:15:39
311,18:17:13
312,18:18:03
313,18:23:48
314,18:24:20
315,18:24:27
316,18:27:39
317,18:27:49
318,18:29:06
319,18:30:00
320,18:30:12
321,18:32:40
322,18:51:00
323,18:55:37
324,18:56:43
325,18:59:02
326,19:02:21
327,19:05:27
328,19:13:54
329,19:15:04
